arxiv_id,discipline
2005.05860,physics
2005.05860,physics:physics
2005.06019,math
2005.05850,physics
2005.05850,physics:hep-ex
2005.05850,physics:hep-ph
2005.06003,physics
2005.06003,physics:physics
2005.05896,cs
2005.05905,physics
2005.05905,physics:astro-ph
2005.05905,physics:hep-ph
2005.05905,physics:hep-th
2005.05801,physics
2005.05801,physics:gr-qc
2005.05987,physics
2005.05987,physics:cond-mat
2005.05884,physics
2005.05884,physics:cond-mat
2005.05751,cs
2005.05794,math
2005.05815,cs
2005.05815,eess
2005.05977,physics
2005.05977,physics:astro-ph
2005.05996,cs
2005.05920,eess
2005.05768,cs
2005.05946,physics
2005.05946,physics:astro-ph
2005.05946,physics:hep-ph
2005.06047,cs
2005.05944,cs
2005.05918,physics
2005.05918,physics:cond-mat
2005.05918,physics:physics
2005.05918,physics:quant-ph
2005.05835,physics
2005.05835,physics:cond-mat
2005.06037,cs
2005.06037,eess
2005.05984,physics
2005.05984,physics:cond-mat
2005.05743,cs
2005.05743,math
2005.05830,math
2005.05899,cs
2005.05811,physics
2005.05811,physics:cond-mat
2005.05811,physics:physics
2005.05811,physics:quant-ph
2005.05848,physics
2005.05848,physics:physics
2005.05859,cs
2005.06033,cs
2005.06033,math
2005.05976,physics
2005.05976,physics:astro-ph
2005.05919,math
2005.05857,physics
2005.05857,physics:astro-ph
2005.05961,cs
2005.05961,math
2005.05795,cs
2005.05795,math
2005.05927,cs
2005.06025,physics
2005.06025,physics:nucl-ex
2005.06025,physics:physics
2005.05981,physics
2005.05981,physics:nucl-ex
2005.05981,physics:nucl-th
2005.05800,math
2005.05855,cs
2005.05855,eess
2005.06051,physics
2005.06051,physics:physics
2005.05923,physics
2005.05923,physics:nlin
2005.05746,math
physics0504068,physics
physics0504068,physics:cond-mat
physics0504068,physics:physics
physics0504044,physics
physics0504044,physics:physics
quant-ph0504222,physics
quant-ph0504222,physics:quant-ph
math-ph0504057,math
math-ph0504057,physics
math-ph0504057,physics:math-ph
nucl-th0504022,physics
nucl-th0504022,physics:nucl-th
quant-ph0504182,physics
quant-ph0504182,physics:quant-ph
physics0504150,physics
physics0504150,physics:physics
physics0504150,q-fin
math0504602,math
math0504359,math
quant-ph0504124,math
quant-ph0504124,physics
quant-ph0504124,physics:math-ph
quant-ph0504124,physics:quant-ph
math0504485,math
math0504485,stat
nucl-th0504085,physics
nucl-th0504085,physics:hep-ph
nucl-th0504085,physics:nucl-ex
nucl-th0504085,physics:nucl-th
math0504150,math
math0504437,math
quant-ph0504106,physics
quant-ph0504106,physics:quant-ph
physics0504053,physics
physics0504053,physics:physics
quant-ph0504152,physics
quant-ph0504152,physics:quant-ph
nucl-th0504021,physics
nucl-th0504021,physics:nucl-th
physics0504217,physics
physics0504217,physics:physics
physics0504217,q-fin
nlin0504046,physics
nlin0504046,physics:nlin
math0504276,math
quant-ph0504226,physics
quant-ph0504226,physics:quant-ph
math-ph0504052,math
math-ph0504052,physics
math-ph0504052,physics:math-ph
quant-ph0504045,physics
quant-ph0504045,physics:cond-mat
quant-ph0504045,physics:physics
quant-ph0504045,physics:quant-ph
quant-ph0504178,physics
quant-ph0504178,physics:quant-ph
math0504211,math
nlin0504004,physics
nlin0504004,physics:physics
math0504473,math
physics0504146,physics
physics0504146,physics:physics
quant-ph0504149,physics
quant-ph0504149,physics:quant-ph
quant-ph0504012,cs
quant-ph0504012,physics
quant-ph0504012,physics:quant-ph
math-ph0504013,math
math-ph0504013,physics
math-ph0504013,physics:hep-th
math-ph0504013,physics:math-ph
math-ph0504013,physics:quant-ph
math-ph0504063,math
math-ph0504063,physics
math-ph0504063,physics:math-ph
quant-ph0504048,physics
quant-ph0504048,physics:quant-ph
math0504264,math
math0504519,math
math0504408,math
math0504563,math
nucl-th0504011,physics
nucl-th0504011,physics:nucl-th
math-ph0504065,math
math-ph0504065,physics
math-ph0504065,physics:hep-th
math-ph0504065,physics:math-ph
math-ph0504065,physics:quant-ph
math0504405,math
quant-ph0504090,physics
quant-ph0504090,physics:quant-ph
nucl-th0504019,physics
nucl-th0504019,physics:nucl-th
nucl-th0504077,physics
nucl-th0504077,physics:hep-th
nucl-th0504077,physics:nucl-th
quant-ph0504055,physics
quant-ph0504055,physics:quant-ph
nucl-th0504040,physics
nucl-th0504040,physics:nucl-th
physics0504222,physics
physics0504222,physics:physics
quant-ph0504173,physics
quant-ph0504173,physics:quant-ph
nucl-ex0504025,physics
nucl-ex0504025,physics:nucl-ex
nucl-th0504088,physics
nucl-th0504088,physics:cond-mat
nucl-th0504088,physics:nucl-th
math0504504,math
quant-ph0504034,physics
quant-ph0504034,physics:quant-ph
math0504328,math
math0504522,cs
math0504522,math
math0504130,math
physics0504030,physics
physics0504030,physics:physics
physics0504107,physics
physics0504107,physics:physics
physics0504016,physics
physics0504016,physics:physics
math0504498,math
math0504498,physics
math0504498,physics:math-ph
math0504580,math
physics0504115,physics
physics0504115,physics:physics
nlin0504020,physics
nlin0504020,physics:nlin
nucl-th0504060,physics
nucl-th0504060,physics:nucl-th
nucl-th0504046,physics
nucl-th0504046,physics:nucl-ex
nucl-th0504046,physics:nucl-th
quant-ph0504194,physics
quant-ph0504194,physics:quant-ph
nucl-th0504043,physics
nucl-th0504043,physics:cond-mat
nucl-th0504043,physics:hep-ph
nucl-th0504043,physics:nucl-th
math0504293,math
physics0504021,physics
physics0504021,physics:physics
math0504180,math
math0504488,math
quant-ph0504142,physics
quant-ph0504142,physics:quant-ph
quant-ph0504115,math
quant-ph0504115,physics
quant-ph0504115,physics:quant-ph
math0504230,math
physics0504149,physics
physics0504149,physics:physics
math0504553,math
physics0504195,physics
physics0504195,physics:physics
quant-ph0504052,physics
quant-ph0504052,physics:cond-mat
quant-ph0504052,physics:quant-ph
physics0504134,physics
physics0504134,physics:cond-mat
physics0504134,physics:physics
quant-ph0504066,physics
quant-ph0504066,physics:quant-ph
math0504192,math
math0504192,physics
math0504192,physics:hep-th
math0504192,physics:math-ph
physics0504005,physics
physics0504005,physics:physics
physics0504085,physics
physics0504085,physics:hep-ex
physics0504085,physics:physics
math0504540,math
math0504540,physics
math0504540,physics:math-ph
math0504289,math
nlin0504017,physics
nlin0504017,physics:cond-mat
math0504223,math
physics0504194,physics
physics0504194,physics:physics
math0504236,math
math0504589,math
quant-ph0504225,physics
quant-ph0504225,physics:quant-ph
q-bio0504013,q-bio
nucl-th0504051,physics
nucl-th0504051,physics:nucl-th
math0504481,math
math0504481,physics
math0504481,physics:math-ph
quant-ph0504219,physics
quant-ph0504219,physics:quant-ph
math0504310,math
math0504323,math
math0504342,math
quant-ph0504108,physics
quant-ph0504108,physics:quant-ph
quant-ph0504105,physics
quant-ph0504105,physics:quant-ph
q-bio0504028,q-bio
nlin0504060,physics
nlin0504060,physics:hep-th
math-ph0504026,math
math-ph0504026,physics
math-ph0504026,physics:math-ph
math0504546,math
math0504190,math
math0504190,physics
math0504190,physics:math-ph
quant-ph0504018,physics
quant-ph0504018,physics:quant-ph
physics0504041,physics
physics0504041,physics:physics
physics0504124,physics
physics0504124,physics:cond-mat
physics0504124,physics:physics
quant-ph0504181,physics
quant-ph0504181,physics:quant-ph
physics0504143,physics
physics0504143,physics:physics
physics0504143,q-fin
math-ph0504055,math
math-ph0504055,physics
math-ph0504055,physics:math-ph
quant-ph0504093,physics
quant-ph0504093,physics:quant-ph
math0504311,math
math0504311,physics
math0504311,physics:hep-th
math0504311,physics:math-ph
quant-ph0504024,physics
quant-ph0504024,physics:quant-ph
math0504153,math
math0504391,math
quant-ph0504211,physics
quant-ph0504211,physics:quant-ph
math-ph0504016,math
math-ph0504016,physics
math-ph0504016,physics:math-ph
math0504281,math
math0504523,math
math0504523,physics
math0504523,physics:math-ph
nlin0504062,physics
nlin0504062,physics:gr-qc
nucl-th0504058,physics
nucl-th0504058,physics:nucl-th
math0504451,math
math0504225,math
quant-ph0504013,physics
quant-ph0504013,physics:quant-ph
physics0504135,physics
physics0504135,physics:cond-mat
physics0504135,physics:physics
math0504568,math
math0504568,physics
math0504568,physics:math-ph
math-ph0504035,math
math-ph0504035,physics
math-ph0504035,physics:hep-th
math-ph0504035,physics:math-ph
physics0504029,physics
physics0504029,physics:cond-mat
physics0504029,physics:physics
math0504163,math
math0504163,physics
math0504163,physics:math-ph
quant-ph0504127,physics
quant-ph0504127,physics:quant-ph
math0504468,math
math0504547,math
math-ph0504033,math
math-ph0504033,physics
math-ph0504033,physics:hep-th
math-ph0504033,physics:math-ph
math-ph0504033,physics:quant-ph
math0504160,math
nlin0504007,physics
nlin0504007,physics:physics
math-ph0504018,math
math-ph0504018,physics
math-ph0504018,physics:math-ph
nucl-th0504033,physics
nucl-th0504033,physics:nucl-th
math0504433,math
math0504433,physics
math0504433,physics:hep-th
math0504433,physics:math-ph
quant-ph0504084,physics
quant-ph0504084,physics:quant-ph
quant-ph0504097,physics
quant-ph0504097,physics:quant-ph
quant-ph0504102,math
quant-ph0504102,physics
quant-ph0504102,physics:math-ph
quant-ph0504102,physics:quant-ph
math0504455,math
math0504248,math
math0504598,math
nucl-th0504078,physics
nucl-th0504078,physics:nucl-th
quant-ph0504070,physics
quant-ph0504070,physics:quant-ph
physics0504069,physics
physics0504069,physics:physics
physics0504110,physics
physics0504110,physics:physics
quant-ph0504040,physics
quant-ph0504040,physics:quant-ph
physics0504220,physics
physics0504220,physics:physics
math0504308,math
math0504567,math
physics0504152,physics
physics0504152,physics:physics
quant-ph0504003,physics
quant-ph0504003,physics:quant-ph
quant-ph0504050,physics
quant-ph0504050,physics:quant-ph
math-ph0504077,math
math-ph0504077,physics
math-ph0504077,physics:math-ph
nucl-th0504081,physics
nucl-th0504081,physics:hep-ph
nucl-th0504081,physics:nucl-ex
nucl-th0504081,physics:nucl-th
math0504144,math
math0504144,physics
math0504144,physics:math-ph
math0504376,math
nucl-th0504068,physics
nucl-th0504068,physics:nucl-ex
nucl-th0504068,physics:nucl-th
q-bio0504021,q-bio
nucl-ex0504007,physics
nucl-ex0504007,physics:nucl-ex
physics0504075,physics
physics0504075,physics:physics
quant-ph0504069,physics
quant-ph0504069,physics:cond-mat
quant-ph0504069,physics:quant-ph
nucl-th0504031,physics
nucl-th0504031,physics:nucl-th
math0504277,math
quant-ph0504168,math
quant-ph0504168,physics
quant-ph0504168,physics:math-ph
quant-ph0504168,physics:quant-ph
math-ph0504047,math
math-ph0504047,physics
math-ph0504047,physics:math-ph
quant-ph0504199,physics
quant-ph0504199,physics:quant-ph
physics0504036,physics
physics0504036,physics:physics
math-ph0504029,math
math-ph0504029,physics
math-ph0504029,physics:hep-th
math-ph0504029,physics:math-ph
physics0504105,physics
physics0504105,physics:physics
physics0504087,physics
physics0504087,physics:physics
quant-ph0504043,physics
quant-ph0504043,physics:quant-ph
quant-ph0504188,physics
quant-ph0504188,physics:quant-ph
quant-ph0504026,physics
quant-ph0504026,physics:quant-ph
math0504594,math
math0504203,math
math0504245,math
math0504560,math
q-bio0504032,q-bio
quant-ph0504157,physics
quant-ph0504157,physics:quant-ph
nucl-th0504003,physics
nucl-th0504003,physics:nucl-th
quant-ph0504027,physics
quant-ph0504027,physics:quant-ph
physics0504035,physics
physics0504035,physics:hep-ex
physics0504035,physics:physics
math0504525,math
math0504460,math
math0504460,physics
math0504460,physics:math-ph
math0504300,math
quant-ph0504156,physics
quant-ph0504156,physics:quant-ph
math0504365,math
quant-ph0504206,physics
quant-ph0504206,physics:quant-ph
math-ph0504042,math
math-ph0504042,physics
math-ph0504042,physics:cond-mat
math-ph0504042,physics:math-ph
math0504290,math
math0504126,math
nucl-th0504035,physics
nucl-th0504035,physics:nucl-th
quant-ph0504059,physics
quant-ph0504059,physics:quant-ph
quant-ph0504138,physics
quant-ph0504138,physics:quant-ph
math-ph0504050,math
math-ph0504050,physics
math-ph0504050,physics:math-ph
quant-ph0504116,physics
quant-ph0504116,physics:quant-ph
physics0504126,physics
physics0504126,physics:physics
quant-ph0504171,physics
quant-ph0504171,physics:quant-ph
physics0504158,physics
physics0504158,physics:cond-mat
physics0504158,physics:physics
physics0504158,q-fin
quant-ph0504174,physics
quant-ph0504174,physics:quant-ph
nucl-ex0504017,physics
nucl-ex0504017,physics:nucl-ex
math0504493,math
quant-ph0504022,physics
quant-ph0504022,physics:quant-ph
math0504239,math
math-ph0504066,math
math-ph0504066,physics
math-ph0504066,physics:math-ph
math0504222,math
nucl-th0504067,physics
nucl-th0504067,physics:nucl-th
physics0504004,physics
physics0504004,physics:cond-mat
physics0504004,physics:physics
nlin0504037,math
nlin0504037,physics
nlin0504037,physics:math-ph
quant-ph0504118,physics
quant-ph0504118,physics:quant-ph
physics0504183,physics
physics0504183,physics:physics
math0504480,math
nucl-th0504054,physics
nucl-th0504054,physics:nucl-th
quant-ph0504212,physics
quant-ph0504212,physics:quant-ph
physics0504136,physics
physics0504136,physics:physics
math0504537,math
physics0504148,physics
physics0504148,physics:physics
quant-ph0504094,physics
quant-ph0504094,physics:quant-ph
math0504422,math
quant-ph0504230,physics
quant-ph0504230,physics:cond-mat
quant-ph0504230,physics:quant-ph
math0504216,math
physics0504096,physics
physics0504096,physics:physics
math0504464,math
math0504334,math
physics0504042,physics
physics0504042,physics:physics
math0504586,math
math0504586,physics
math0504586,physics:math-ph
quant-ph0504197,physics
quant-ph0504197,physics:quant-ph
math0504157,math
quant-ph0504180,physics
quant-ph0504180,physics:quant-ph
math-ph0504072,math
math-ph0504072,physics
math-ph0504072,physics:math-ph
physics0504167,physics
physics0504167,physics:physics
q-bio0504029,physics
q-bio0504029,physics:cond-mat
q-bio0504029,q-bio
math0504544,math
math0504544,physics
math0504544,physics:hep-th
quant-ph0504078,physics
quant-ph0504078,physics:quant-ph
math-ph0504034,math
math-ph0504034,physics
math-ph0504034,physics:math-ph
physics0504181,physics
physics0504181,physics:physics
math0504545,math
nucl-th0504036,physics
nucl-th0504036,physics:nucl-th
math0504565,math
nucl-th0504074,physics
nucl-th0504074,physics:nucl-th
quant-ph0504163,physics
quant-ph0504163,physics:cond-mat
quant-ph0504163,physics:quant-ph
math0504129,math
math0504199,math
math0504577,math
physics0504218,physics
physics0504218,physics:cond-mat
physics0504218,physics:physics
quant-ph0504054,physics
quant-ph0504054,physics:quant-ph
math0504206,math
nucl-th0504015,physics
nucl-th0504015,physics:nucl-th
quant-ph0504201,physics
quant-ph0504201,physics:quant-ph
math0504174,math
quant-ph0504130,physics
quant-ph0504130,physics:quant-ph
physics0504156,physics
physics0504156,physics:physics
nucl-th0504070,physics
nucl-th0504070,physics:nucl-th
math0504524,math
physics0504169,physics
physics0504169,physics:physics
math0504303,math
math0504535,math
math0504406,math
math0504452,math
quant-ph0504041,physics
quant-ph0504041,physics:quant-ph
quant-ph0504028,physics
quant-ph0504028,physics:quant-ph
math0504429,math
physics0504151,physics
physics0504151,physics:astro-ph
physics0504151,physics:hep-ex
physics0504151,physics:physics
physics0504061,physics
physics0504061,physics:physics
math0504427,math
physics0504079,physics
physics0504079,physics:physics
math0504257,math
nucl-th0504005,physics
nucl-th0504005,physics:nucl-th
physics0504017,physics
physics0504017,physics:physics
nucl-th0504052,physics
nucl-th0504052,physics:nucl-th
quant-ph0504196,physics
quant-ph0504196,physics:quant-ph
physics0504102,physics
physics0504102,physics:physics
physics0504198,physics
physics0504198,physics:cond-mat
physics0504198,physics:physics
quant-ph0504051,physics
quant-ph0504051,physics:quant-ph
physics0504090,physics
physics0504090,physics:physics
math0504593,math
physics0504192,physics
physics0504192,physics:physics
math0504307,math
math-ph0504071,math
math-ph0504071,physics
math-ph0504071,physics:math-ph
nucl-ex0504015,physics
nucl-ex0504015,physics:nucl-ex
physics0504058,physics
physics0504058,physics:physics
physics0504058,q-bio
quant-ph0504010,physics
quant-ph0504010,physics:quant-ph
quant-ph0504203,physics
quant-ph0504203,physics:quant-ph
math0504606,math
math0504606,stat
math0504399,math
nucl-ex0504027,physics
nucl-ex0504027,physics:nucl-ex
quant-ph0504101,physics
quant-ph0504101,physics:quant-ph
nucl-th0504034,physics
nucl-th0504034,physics:astro-ph
nucl-th0504034,physics:nucl-ex
nucl-th0504034,physics:nucl-th
quant-ph0504161,physics
quant-ph0504161,physics:quant-ph
math-ph0504069,math
math-ph0504069,physics
math-ph0504069,physics:math-ph
math0504465,math
quant-ph0504021,cs
quant-ph0504021,physics
quant-ph0504021,physics:quant-ph
physics0504209,physics
physics0504209,physics:physics
nucl-th0504020,physics
nucl-th0504020,physics:nucl-th
math0504428,math
math0504562,math
q-bio0504017,physics
q-bio0504017,physics:cond-mat
q-bio0504017,physics:physics
q-bio0504017,q-bio
nucl-th0504026,physics
nucl-th0504026,physics:cond-mat
nucl-th0504026,physics:nucl-th
math0504133,math
math0504221,math
math0504243,math
math0504477,math
math0504477,q-bio
math0504477,stat
math0504414,math
math0504321,math
physics0504098,physics
physics0504098,physics:hep-ex
physics0504098,physics:physics
nucl-ex0504028,physics
nucl-ex0504028,physics:hep-ex
nucl-ex0504028,physics:nucl-ex
quant-ph0504148,physics
quant-ph0504148,physics:quant-ph
physics0504100,physics
physics0504100,physics:cond-mat
physics0504100,physics:physics
physics0504100,q-fin
physics0504137,physics
physics0504137,physics:cond-mat
physics0504137,physics:physics
quant-ph0504113,physics
quant-ph0504113,physics:quant-ph
math-ph0504038,math
math-ph0504038,physics
math-ph0504038,physics:hep-th
math-ph0504038,physics:math-ph
math-ph0504038,physics:nlin
math0504176,math
math0504340,math
quant-ph0504117,physics
quant-ph0504117,physics:quant-ph
math0504358,math
math0504244,math
physics0504003,physics
physics0504003,physics:physics
math0504431,math
math0504183,math
math-ph0504023,math
math-ph0504023,physics
math-ph0504023,physics:math-ph
physics0504190,physics
physics0504190,physics:physics
math-ph0504015,math
math-ph0504015,physics
math-ph0504015,physics:cond-mat
math-ph0504015,physics:hep-ph
math-ph0504015,physics:hep-th
math-ph0504015,physics:math-ph
math-ph0504015,physics:nucl-th
nucl-ex0504029,physics
nucl-ex0504029,physics:nucl-ex
nucl-ex0504022,physics
nucl-ex0504022,physics:nucl-ex
physics0504031,physics
physics0504031,physics:physics
nucl-th0504045,physics
nucl-th0504045,physics:nucl-th
math-ph0504080,math
math-ph0504080,physics
math-ph0504080,physics:math-ph
quant-ph0504091,physics
quant-ph0504091,physics:quant-ph
quant-ph0504033,physics
quant-ph0504033,physics:quant-ph
quant-ph0504015,physics
quant-ph0504015,physics:quant-ph
quant-ph0504064,physics
quant-ph0504064,physics:quant-ph
math0504456,math
math-ph0504009,math
math-ph0504009,physics
math-ph0504009,physics:cond-mat
math-ph0504009,physics:math-ph
math-ph0504004,math
math-ph0504004,physics
math-ph0504004,physics:math-ph
physics0504048,physics
physics0504048,physics:physics
physics0504121,physics
physics0504121,physics:physics
physics0504121,q-fin
math-ph0504002,math
math-ph0504002,physics
math-ph0504002,physics:hep-th
math-ph0504002,physics:math-ph
math0504315,math
quant-ph0504110,physics
quant-ph0504110,physics:quant-ph
quant-ph0504223,physics
quant-ph0504223,physics:quant-ph
math0504418,math
nucl-ex0504002,physics
nucl-ex0504002,physics:nucl-ex
physics0504128,physics
physics0504128,physics:physics
quant-ph0504080,physics
quant-ph0504080,physics:quant-ph
math0504299,math
math0504430,math
math0504271,math
q-bio0504003,q-bio
math-ph0504059,math
math-ph0504059,physics
math-ph0504059,physics:math-ph
q-bio0504007,q-bio
nlin0504043,physics
nlin0504043,physics:hep-th
math0504386,math
nucl-ex0504030,physics
